Rk,Player,Pos,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,allstar_selected
294,Isaiah Livers,PF,DET,-0.4029711013402872,0.16070283732341462,-0.03007108568587112,0.3464353626702028,-0.4308609027674778,-0.32397732583794886,-0.42218761586151715,0.46989226425553143,0.49834536426261866,0.36278050556384855,-0.7405248795534681,-0.7752259092894893,0.07922210077956983,0.1236711876554626,-0.5404535049525557,-0.5624949002112826,0.4754687484021593,-0.4903717521053993,-0.26892419635947684,-0.31668059058153253,-0.6568324239910726,-0.27538322972573404,0.3067019493358384,-0.6097148082356517,0.3941564246125799,-0.35413764918091806,0
295,Kenneth Lofton Jr.,PF,MEM,-1.3361673360230577,-0.9763469614974826,-0.8001494089401125,-1.310206130716276,-0.5541055657384686,-0.6470555471638589,0.5817631218928397,-0.791879128303819,-0.9285239655517322,0.27517683522645914,-0.2838396277464666,-0.31962087714334275,0.2575876493183675,0.2556500848479564,-0.4757047965352568,-0.40283994959839087,-0.5969998276424455,-0.08868425304033813,-0.7769270299030211,-0.6151656938201339,-0.6568324239910726,-1.028842929330661,-0.7346356928185989,-0.7307594791892488,-0.616308797105283,-0.6028128947510577,0
296,Kevon Looney,C,GSW,0.06362701600109814,1.378970478917233,1.730107938895252,0.43031594461382167,-0.1432900225018323,-0.48551643650090387,1.5218260854264645,-1.1359985990018238,-1.2406516314486213,-2.3018311338650768,0.3250740413295354,0.10750884049366961,0.7284726974607953,0.9249716348956027,-0.21670996286606134,0.02290658536932012,-0.5358503035697267,3.258711572501837,1.819531897097316,2.4549667966340527,0.22333070865446678,-0.024229996524091742,0.5670363598744477,-0.7307594791892488,1.2783134936157101,-0.3102537823155993,0
297,Brook Lopez,C,MIL,1.9300194853666395,1.2165347933713906,2.0234711096587725,1.1118456729057276,1.13023816153174,0.8875660041342139,0.6182704214475437,0.8140117349535362,0.8550626967162065,0.4284832583168906,1.0354733219182046,0.7339657596946211,0.764145807168555,0.6987220968513276,0.3012797044723294,0.28899816972413955,0.3014277952721141,1.5180657432199063,1.1421947857059236,1.3463078417478187,-0.3979609143894433,-0.27538322972573404,5.513390160108024,0.3586425593931251,1.1520053409009772,0.9916342680221908,0
298,Robin Lopez,C,CLE,1.9300194853666395,-0.4484309834734946,-0.7634790125946724,-1.226325548772657,-0.8416764460041138,-1.0307109349883772,1.6130943343132242,-1.0212921087691555,-1.1960619648919228,1.3483217968594785,-0.5882964622844676,-0.6897999657620868,0.8426266485256263,1.1417941088546997,-0.6699509217871533,-0.7221498508241743,0.2732049380077824,-0.3564759190837123,-1.0591508263161011,-0.9136507970587354,-0.8121553297520501,-1.2799961625323033,-0.4743012822799894,-0.4886701372820546,-0.616308797105283,-0.8953720071865162,0
299,Kevin Love,PF,TOT,1.9300194853666395,0.5667920511880208,-0.10341187837675125,0.02139810763867834,-0.2665346854728231,-0.06147627101064696,-0.677738712744444,0.6993052447208681,0.8996523632729048,0.13647102385892632,-0.639039268040801,-0.6328493367438185,-0.09914344775922859,-0.24398431166648454,-0.08721254603146365,-0.18996668211453538,0.7482897019573661,0.1791074130030359,1.5937528599668518,1.218385654645561,-0.08731510286748834,-0.7776896961290187,-0.4743012822799894,-0.004491453467666019,-0.11107618624635139,-0.13471831485432434,0
300,Kyle Lowry,PG,MIA,2.396617602708025,0.28252960148279643,0.7766776339138104,1.1957262548493468,0.10319930344014955,0.34237150564674085,-0.5408363394143043,1.0434247154188725,1.2563696957264923,0.2167743883348662,-0.38532523925913353,-0.31962087714334275,-0.14908580135009217,-0.1685677989850595,0.4307771213069272,0.3422164865951035,0.6542135110762602,-0.08868425304033813,0.3519681557492992,0.2376488868615844,1.5694625585829385,0.9803829362824776,0.04636753879722917,0.9638659141611107,1.1520053409009772,0.3041203537988633,0
301,Trey Lyles,PF,SAC,0.29692607467179083,1.0540991078255482,-0.8368198052855527,-0.30363914739284614,-0.34869779412015045,-0.32397732583794886,-0.047987795425802095,0.24047928379019498,0.18621769836572954,0.3481798938409503,-0.48681085077180064,-0.5758987077255503,0.4644916856233736,0.3122124693590242,-0.02246383761416489,-0.08353004837260763,0.4472458911378276,0.045211579981348886,0.2390786371840673,0.2376488868615844,-0.6050581220707468,-0.5265364629273763,0.04636753879722917,-0.24658079537486033,-0.49000064439054997,-0.22248604858496182,0
302,Théo Maledon,PG,CHO,-1.1028682773523653,-0.16416853376827029,-0.5801270308674722,-0.041512328819036194,-0.4308609027674778,-0.26340015933934074,-0.5590899891916563,-0.4477596576058144,-0.25967896720125505,-0.14824090473758925,-0.3345824335028001,-0.20571961910680614,-0.463009166778377,-0.7059104518402125,-0.02246383761416489,-0.08353004837260763,0.6165830347238179,-0.7581634181487733,-0.09958991851162886,-0.31668059058153253,0.7410737278577252,0.4780764698791931,-0.2139668717413802,0.23759788843952814,-0.3636924916758173,-0.35413764918091806,0
303,Sandro Mamukelashvili,C,TOT,-0.6362701600109798,-0.20477745515473092,-0.5801270308674722,-0.47140031128008425,-0.4308609027674778,-0.36436210350368764,-0.37655349141813726,-0.33305316737314616,-0.21508930064455678,-0.0898384578459963,-0.38532523925913353,-0.3765715061616111,-0.13481655746698828,-0.423098529284869,-0.34620737970065907,-0.2964033158564631,-0.16895315913341424,0.9824824111331583,0.013299600053603278,0.3229303449297563,-0.3461866124691176,-0.7776896961290187,-0.2139668717413802,-0.3676254663284574,-0.616308797105283,-0.4419053829115557,0
304,Terance Mann,SG,LAC,0.06362701600109814,1.3383615575307723,0.48331446315028986,0.3464353626702028,0.021036194792822212,-0.12205343750925507,0.508748522783432,0.011066303324858572,-0.17049963408785826,0.5379878462386274,0.02061720679153436,-0.09181836107026954,0.48589555144802943,0.5761702637440119,-0.21670996286606134,-0.18996668211453538,0.28261255709589295,0.1791074130030359,-0.09958991851162886,-0.06083621637701696,0.119782104813815,-0.27538322972573404,-0.2139668717413802,-0.12553612442126325,0.14154011918311424,-0.04695058112368661,0
305,Tre Mann,PG,OKC,-1.1028682773523653,0.7698366581203238,-0.6534678235583523,-0.21975856544922687,-0.18437157682549593,0.07987045081943875,-0.6412314131897401,0.24047928379019498,0.45375569770592017,-0.0022347875086068973,-0.3345824335028001,-0.20571961910680614,-0.391662947362858,-0.5456503623921848,-0.5404535049525557,-0.5624949002112826,0.20735160439100836,-0.6242675851270862,-0.438258474207325,-0.5298842357519622,-0.13908940478781412,-0.024229996524091742,-0.4743012822799894,-0.24658079537486033,-0.23738433896108435,-0.20785809296318883,0
306,Boban Marjanovic,C,HOU,1.9300194853666395,-0.6920845117922583,-0.8368198052855527,-1.4989374400894193,-0.8416764460041138,-1.0509033238212464,2.0055478045262913,-1.1359985990018238,-1.2406516314486213,-2.3018311338650768,-0.537553656528134,-0.6897999657620868,1.1779538797785665,1.4246060314100437,-0.5404535049525557,-0.5092765833403187,0.0991639848777367,-0.3564759190837123,-0.7769270299030211,-0.7004471518883058,-0.9157039335927017,-1.028842929330661,-0.7346356928185989,-0.7307594791892488,-1.7530821715378784,-0.8514881403211975,0
307,Lauri Markkanen,SF,UTA,-0.1696720426695945,0.7292277367338632,1.5834263535134918,1.5312485826238234,2.198358573946994,2.0587245564406382,0.3262120250099124,2.3051961079782233,2.1927526934171606,0.5525884579615256,1.6443869909942062,1.5027992514412432,0.3931454662078543,0.5101808151477649,2.5027357906604903,2.2048575770788394,0.7294744637811449,1.5180657432199063,2.271089971358244,2.1564816933954507,-0.08731510286748834,-0.024229996524091742,0.5670363598744477,0.9638659141611107,0.5204645773273129,2.4105459633341644,1
308,Naji Marshall,SF,NOP,-0.1696720426695945,1.17592587198493,-0.0667414820313112,0.3674055081561075,-0.06112691385450494,0.059678061986569435,-0.2761584176427015,-0.10364018690780964,0.007859032138935537,-0.0898384578459963,0.02061720679153436,0.0790335259845353,-0.1205473135838844,-0.39481733702933464,0.2365309960550306,0.23577985285317563,0.32494684299239057,-0.3564759190837123,0.18263387790145125,0.024445241691154966,0.22333070865446678,0.22692323667755054,-0.4743012822799894,0.23759788843952814,-0.23738433896108435,-0.0030667142583679944,0
309,Caleb Martin,PF,MIA,0.29692607467179083,0.9322723436661663,0.9600296156410107,0.9965098727332514,0.10319930344014955,0.12025522848517754,0.0067731539062537635,0.24047928379019498,0.23080736492242784,0.2970777528108065,0.02061720679153436,0.02208289696626719,0.10776058854577758,0.07653586722957194,-0.08721254603146365,-0.13674836524357145,0.4002077956972752,0.4468990790464099,0.5213024335971473,0.5361339901001859,-0.24263800862846577,0.9803829362824776,0.04636753879722917,-0.004491453467666019,0.3941564246125799,0.07007306385049662,0
310,Cody Martin,SF,CHO,0.29692607467179083,-1.666698625067313,-0.8368198052855527,-0.07296754704789309,-0.5541055657384686,-0.4047468811694265,-0.677738712744444,-0.6771726380711508,-0.3488583003146521,-0.7395656795149671,-0.38532523925913353,-0.3480961916524769,-0.2132973988240596,-0.9510141180548439,-0.5404535049525557,-0.4560582664693548,-0.7004836376116619,0.31300324602472307,-0.21247943707686098,-0.06083621637701696,-0.24263800862846577,-0.024229996524091742,-0.7346356928185989,-0.9728488210964429,0.26784827189784693,-0.6028128947510577,0
311,Kenyon Martin Jr.,SF,HOU,-0.8695692186816725,1.378970478917233,0.9600296156410107,0.8602039270748701,0.6783410639714403,0.34237150564674085,0.9650897672172298,-0.21834667714047784,-0.08132030097446127,-0.0022347875086068973,0.9339877104055375,0.5061632436215476,1.0637999287137363,0.8024198017882871,0.2365309960550306,0.44865312033703136,-0.1877683973096354,0.8485865781114711,0.7470814707276114,0.8346190933387875,-0.2944123105487917,-0.27538322972573404,0.04636753879722917,-0.004491453467666019,0.14154011918311424,0.5235396881254571,0
312,Tyrese Martin,SG,ATL,-0.6362701600109798,-1.3012183325891675,-0.8368198052855527,-1.645728458490753,-1.1292473262697593,-1.1518652679855934,-0.659485062967092,-1.0212921087691555,-1.0622929652218276,-1.257887395677854,-0.9434961025788021,-0.9460777963442942,-0.2132973988240596,-1.1207012715880502,-0.8641970470390499,-0.9350231183080298,1.3174506567880555,-0.7581634181487733,-1.2849298634465653,-1.1694951712632509,-1.0192525374333534,-1.2799961625323033,-0.994970103357208,-1.214938163003637,-2.005698476967344,-1.1440472527566559,0
313,Garrison Mathews,SG,TOT,0.06362701600109814,0.24192068009633583,-0.8368198052855527,-0.7440122025968468,-0.8005948916804504,-0.6874403248295977,-0.9150361598500194,0.24047928379019498,0.23080736492242784,0.2532759176421118,-1.0957245198478025,-1.1169296833990991,-0.38452832542130605,-0.11200541447399069,-0.34620737970065907,-0.4560582664693548,0.8752925596468588,-0.8920592511704605,-0.8898165484682531,-0.9136507970587354,-0.8121553297520501,-0.5265364629273763,-0.7346356928185989,-0.8518041501428458,-0.7426169498200156,-0.6320688059946036,0
314,Bennedict Mathurin,SF,IND,-1.3361673360230577,1.2165347933713906,-0.21342306741307146,0.9126292907896322,0.8015857269424311,1.0289127259642994,-0.26703159275402555,0.35518577402286333,0.5429350308193172,0.05616765938298604,0.8325020988928704,1.104144848313365,-0.2989128621226828,-0.423098529284869,2.178992248573996,2.0984209433369116,0.5083954152105463,0.31300324602472307,0.18263387790145125,0.2376488868615844,-0.2944123105487917,-0.024229996524091742,-0.4743012822799894,0.9638659141611107,0.5204645773273129,1.108657912996374,0
